0000-041|0.0889|  176|3         |                                        
0000+041|0.0803|  197|3         |                                        
0000-123|0.0740|  136|2         |                                        
0000+123|0.0678|  235|3         |                                        
0000-208|0.0717|  179|3         |                                        
0000+208|0.0642|  160|2         |                                        
0000-298|0.0674|  293|3         |                                        
0000+298|0.0675|  163|3         |                                        
0000+398|0.0724|  132|brt,3     |Cassiopeia A substracted                
0000+517|0.0815| 4126|brt,3     |Cassiopeia A substracted                
0000+639|0.1628| 4207|brt,2     |Cassiopeia A substracted                
0000+758|0.0662|  265|brt,3     |Cassiopeia A substracted                
0000+895|0.0974|  110|3         |                                        
0030+000|0.0911|  373|3         |                                        
0030-082|0.0999|  164|3         |                                        
0030+082|0.0730|  327|2         |                                        
0030-166|0.0869|  136|3         |                                        
0030+166|0.0587|  533|3         |                                        
0030-253|0.0801|  208|3         |                                        
0030+253|0.0625|  230|3         |                                        
0030+346|0.0762|  221|3         |                                        
0030+453|0.0562|  271|brt,3     |Cassiopeia A substracted                
0030+588|0.1099|  349|brt,3     |Cassiopeia A substracted                
0100-041|0.1027|  143|3         |                                        
0100+041|0.0913|  115|3         |                                        
0100-123|0.0799|  261|2         |                                        
0100+123|0.0652|  705|2         |                                        
0100-208|0.0852|  204|3         |                                        
0100+208|0.0982|  134|3         |                                        
0100-298|0.0647|  111|3         |                                        
0100+298|0.0860|  304|3         |                                        
0100+398|0.0569|  242|3         |                                        
0100+517|0.0804|  597|brt,3     |Cassiopeia A substracted                
0100+690|0.0616|  683|brt,3     |Cassiopeia A substracted                
0130+000|0.0986|  125|3         |                                        
0130-082|0.1151|  102|2         |                                        
0130+082|0.0926|  133|3         |                                        
0130-166|0.0858|  258|3         |                                        
0130+166|0.0762|  358|3         |                                        
0130-253|0.0735|  235|3         |                                        
0130+253|0.0879|  261|3         |                                        
0130+346|0.0720|  861|3         |                                        
0130+453|0.0749|  161|3         |                                        
0130+588|0.0859|  149|brt,3     |Cassiopeia A substracted                
0200-041|0.0987|  138|3         |                                        
0200+041|0.0895|   78|3         |                                        
0200-123|0.0928|  178|2         |                                        
0200+123|0.0674|   79|3         |                                        
0200-208|0.0697|   88|3         |                                        
0200+208|0.0727|  293|3         |                                        
0200-298|0.0629|  498|3         |                                        
0200+298|0.0983|  244|3         |                                        
0200+398|0.0738|  195|nvss,2    |                                        
0200+517|0.0872|  175|3         |                                        
0200+639|0.0730|  186|brt,3     |Cassiopeia A substracted                
0200+726|0.0874|  132|2         |                                        
0200+815|0.0446|  284|2         |                                        
0230+000|0.0930|  339|3         |                                        
0230-082|0.0889|  140|3         |                                        
0230+082|0.0754|  111|peel,2    |                                        
0230-166|0.0680|  371|3         |                                        
0230+166|0.0708|  104|3         |                                        
0230-253|0.0546|  279|peel,2    |                                        
0230+253|0.0691|  192|3         |                                        
0230+346|0.0868|  274|3         |                                        
0230+453|0.0912|  120|2         |                                        
0230+588|0.0745|  518|3         |                                        
0300-041|0.0879|  121|3         |                                        
0300+041|0.1104|  188|3         |                                        
0300-123|0.0715|  159|3         |                                        
0300+123|0.0696|  286|3         |                                        
0300-208|0.0712|  310|2         |                                        
0300+208|0.0946|  224|2         |                                        
0300-298|0.0822|  123|3         |                                        
0300+298|0.0767|  153|3         |                                        
0300+398|0.1053|  549|3         |                                        
0300+517|0.0733|  230|3         |                                        
0300+690|0.0845|  109|2         |                                        
0330+000|0.1053|  208|3         |                                        
0330-082|0.0952|  145|3         |                                        
0330+082|0.0762|  164|3         |                                        
0330-166|0.0747|  182|3         |                                        
0330+166|0.0844|  242|3         |                                        
0330-253|0.0771|  125|3         |                                        
0330+253|0.0615|   97|3         |                                        
0330+346|0.0807|  222|3         |                                        
0330+453|0.0790|  659|3         |                                        
0330+588|0.0635|  413|3         |                                        
0400-041|0.0840|  297|3         |                                        
0400+041|0.0827|  199|2         |                                        
0400-123|0.0762|  332|3         |                                        
0400+123|0.1149|  187|3         |                                        
0400-208|0.0600|  223|peel,2    |                                        
0400+208|0.0785|   73|3         |                                        
0400-298|0.0708|  179|3         |                                        
0400+298|0.0870|   96|3         |                                        
0400+398|0.0973|  245|3         |                                        
0400+517|0.0549|  311|2         |                                        
0400+639|0.0651|  119|3         |                                        
0400+758|0.0808|  228|2         |                                        
0430+000|0.0762|  177|3         |                                        
0430-082|0.0809|  143|2         |                                        
0430+082|0.1000|   84|3         |                                        
0430-166|0.0906|   99|RFI,3     |                                        
0430+166|0.0950|  105|3         |                                        
0430-253|0.0800|  353|2         |                                        
0430+253|0.0916| 2259|3         |                                        
0430+346|0.0946| 1752|2         |                                        
0430+453|0.0848|  219|2         |                                        
0430+588|0.0671|  157|3         |                                        
0500-041|0.0988|   61|3         |                                        
0500+041|0.0833|   76|3         |                                        
0500-123|0.0737|  199|3         |                                        
0500+123|0.0890|   67|2         |                                        
0500-208|0.0671|  462|3         |                                        
0500+208|0.0844|  263|brt,2     |Crab         subtracted                 
0500-298|0.0804|  401|3         |                                        
0500+298|0.0947| 2200|2         |                                        
0500+398|0.1042|  647|3         |                                        
0500+517|0.0660|  235|3         |                                        
0500+690|0.0615|  220|3         |                                        
0530+000|0.0804|  109|peel,2    |                                        
0530-082|0.0915|   95|3         |                                        
0530+082|0.1054|  280|3         |                                        
0530-166|0.0946|  213|3         |                                        
0530+166|0.1352| 1143|brt,3     |Crab         subtracted                 
0530-253|0.0871|  127|3         |                                        
0530+253|0.1128| 1922|brt,3     |Crab         subtracted                 
0530+346|0.1128|  203|3         |                                        
0530+453|0.0638|  459|2         |                                        
0530+588|0.0586|  136|3         |                                        
0600-041|0.0781|  268|3         |                                        
0600+041|0.0973|   64|nvss,3    |                                        
0600-123|0.0770|  148|2         |                                        
0600+123|0.0837|  171|3         |                                        
0600-208|0.0674|  227|3         |                                        
0600+208|0.1137| 1379|brt,3     |Crab         subtracted                 
0600-298|0.0747|  163|3         |                                        
0600+298|0.0835|  279|2         |                                        
0600+398|0.0645|  156|3         |                                        
0600+517|0.0708|  553|2         |                                        
0600+639|0.0693|  244|3         |                                        
0600+726|0.0651|  205|3         |                                        
0600+815|0.0498|  147|3         |                                        
0630+000|0.1097|  370|3         |                                        
0630-082|0.0863|  874|2         |                                        
0630+082|0.0942|  104|3         |                                        
0630-166|0.0921|  145|2         |                                        
0630+166|0.0703|  410|2         |                                        
0630-253|0.0722|  180|3         |                                        
0630+253|0.0912|  365|3         |                                        
0630+346|0.0698|   98|3         |                                        
0630+453|0.0626|  247|3         |                                        
0630+588|0.0603|  266|3         |                                        
0700-041|0.1017|   85|3         |                                        
0700+041|0.0932|   83|3         |                                        
0700-123|0.0742|  116|3         |                                        
0700+123|0.0694|  405|3         |                                        
0700-208|0.0776|  349|3         |                                        
0700+208|0.0645|  375|3         |                                        
0700-298|0.0973|  181|3         |                                        
0700+298|0.0609|  147|3         |                                        
0700+398|0.0679|  203|3         |                                        
0700+517|0.0632|  495|2         |                                        
0700+690|0.0667|  257|3         |                                        
0730+000|0.0944|  156|3         |                                        
0730-082|0.1073|  137|2         |                                        
0730+082|0.0727|  231|2         |                                        
0730-166|0.0791|  223|3         |                                        
0730+166|0.0703|  287|3         |                                        
0730-253|0.0795|  252|3         |                                        
0730+253|0.0633|  261|3         |                                        
0730+346|0.0702|  269|3         |                                        
0730+453|0.0630|  425|3         |                                        
0730+588|0.0702|  119|2         |                                        
0800-041|0.0872|  346|3         |                                        
0800+041|0.0778|  149|3         |                                        
0800-123|0.1080|  192|2         |                                        
0800+123|0.0666|  434|3         |                                        
0800-208|0.0799|  341|3         |                                        
0800+208|0.0919|  127|3         |                                        
0800-298|0.0670|   97|3         |                                        
0800+298|0.0708|  140|3         |                                        
0800+398|0.0592|  352|2         |                                        
0800+517|0.0669| 1183|3         |                                        
0800+639|0.0792|  133|nvss,3    |                                        
0800+758|0.0708|  312|3         |                                        
0830+000|0.1038|  179|3         |                                        
0830-082|0.1087|  111|3         |                                        
0830+082|0.0763|  159|3         |                                        
0830-166|0.1082|   35|brt,3     |Hydra A      substracted                
0830+166|0.1122|  110|3         |                                        
0830-253|0.0798|  195|3         |                                        
0830+253|0.0630|  241|3         |                                        
0830+346|0.0557|  187|2         |                                        
0830+453|0.0616| 1354|3         |                                        
0830+588|0.0781|  275|3         |                                        
0900-041|0.0815|  194|2         |                                        
0900+041|0.0737|   68|3         |                                        
0900-123|0.0831| 1720|brt,3     |Hydra A      substracted                
0900+123|0.1081|  298|2         |                                        
0900-208|0.0687|  365|brt,2     |Hydra A      substracted                
0900+208|0.0649|  220|3         |                                        
0900-298|0.0636|  532|3         |                                        
0900+298|0.1032|  175|3         |                                        
0900+398|0.0691|  407|3         |                                        
0900+517|0.0602|  162|3         |                                        
0900+690|0.0774|  201|3         |                                        
0930+000|0.1007|  172|brt,nvss,2|Hydra A      substracted                
0930-082|0.0927| 1596|brt,2     |Hydra A      substracted                
0930+082|0.1280|  151|3         |                                        
0930-166|0.0637| 1921|brt,3     |Hydra A      substracted                
0930+166|0.0723|  302|3         |                                        
0930-253|0.0784|  156|brt,3     |Hydra A      substracted                
0930+253|0.1041|   74|3         |                                        
0930+346|0.0705|  210|3         |                                        
0930+453|0.0614|  527|2         |                                        
0930+588|0.0651|  185|2         |                                        
1000-041|0.1001|  266|brt,nvss,3|Hydra A      substracted                
1000+041|0.1281|  179|3         |                                        
1000-123|0.0664|  151|brt,3     |Hydra A      substracted                
1000+123|0.1005|  201|2         |                                        
1000-208|0.0859|  331|brt,3     |Hydra A      substracted                
1000+208|0.0638|  142|2         |                                        
1000-298|0.1178|   56|2         |                                        
1000+298|0.1025|  388|3         |                                        
1000+398|0.0603|  160|3         |                                        
1000+517|0.0577|  226|3         |                                        
1000+639|0.0634|  190|2         |                                        
1000+726|0.0765|  193|3         |                                        
1000+815|0.0782|  406|3         |                                        
1030+000|0.1083|   73|3         |                                        
1030-082|0.1086|   94|3         |                                        
1030+082|0.0872|  204|3         |                                        
1030-166|0.0940|   75|3         |                                        
1030+166|0.0744|  156|3         |                                        
1030-253|0.1003|   84|3         |                                        
1030+253|0.1039|   96|3         |                                        
1030+346|0.0783|   97|3         |                                        
1030+453|0.0737|  290|3         |                                        
1030+588|0.0632|  579|3         |                                        
1100-041|0.1176|  146|nvss,3    |                                        
1100+041|0.1005|  140|3         |                                        
1100-123|0.0766|  103|2         |                                        
1100+123|0.0900|  166|3         |                                        
1100-208|0.0687|  317|2         |                                        
1100+208|0.0680|  201|3         |                                        
1100-298|0.0813|   96|nvss,3    |                                        
1100+298|0.0715|  124|3         |                                        
1100+398|0.0743|  506|3         |                                        
1100+517|0.0653|  140|3         |                                        
1100+690|0.0721|  196|3         |                                        
1130+000|0.0910|  125|3         |                                        
1130-082|0.1127|   90|3         |                                        
1130+082|0.0787|  117|nvss,3    |                                        
1130-166|0.0679|  348|3         |                                        
1130+166|0.0795|  144|3         |                                        
1130-253|0.0632|  337|3         |                                        
1130+253|0.1100|  136|3         |                                        
1130+346|0.0890|  222|3         |                                        
1130+453|0.0724|  288|3         |                                        
1130+588|0.0733|  150|3         |                                        
1200-041|0.0912|  159|2         |                                        
1200+041|0.0848|  366|2         |                                        
1200-123|0.0798|  203|3         |                                        
